lesson_id,title_bm,title_en,description_bm,description_en,level
1,Pengenalan kepada Islam,Introduction to Islam,"Islam adalah agama yang membawa rahmat kepada seluruh alam. Pelajaran ini akan memperkenalkan asas-asas Islam seperti rukun Islam, rukun iman, dan konsep utama dalam Islam.","Islam is a religion that brings mercy to the whole world. This lesson will introduce the basics of Islam, such as the pillars of Islam, the pillars of faith, and key concepts in Islam.",1
2,Kehidupan Nabi Muhammad SAW,The Life of Prophet Muhammad SAW,Nabi Muhammad SAW adalah utusan terakhir Allah dan contoh terbaik bagi umat manusia. Pelajaran ini akan membincangkan kehidupan baginda dari kelahiran sehingga kewafatan.,Prophet Muhammad SAW is the last messenger of Allah and the best example for mankind. This lesson will cover his life from birth to passing.,1
3,Al-Quran & Hadis Membimbing Muslim,The Quran & Hadith as Guidance for Muslims,"Al-Quran dan Hadis adalah panduan utama bagi setiap Muslim. Pelajaran ini membincangkan bagaimana Al-Quran diturunkan, peranannya dalam kehidupan seharian, dan bagaimana Hadis melengkapkan pemahaman kita terhadap ajaran Islam.","The Quran and Hadith are the main sources of guidance for Muslims. This lesson explores how the Quran was revealed, its role in daily life, and how Hadith complements our understanding of Islamic teachings.",1
4,Halal & Haram dalam Kehidupan Muslim,Halal & Haram in a Muslim�s Life,"Pelajaran ini membincangkan konsep halal dan haram dalam Islam, termasuk makanan, minuman, pakaian, dan cara hidup. Ia membantu memahami bagaimana menjaga keberkatan dalam kehidupan seharian.","This lesson explores the concept of halal and haram in Islam, covering food, drinks, clothing, and lifestyle choices. It helps understand how to maintain blessings in daily life.",1
5,Akhlak Islam,Islamic Morality & Ethics,"Akhlak yang baik adalah sebahagian daripada iman seorang Muslim. Pelajaran ini membincangkan bagaimana Islam mengajarkan adab, jujur, amanah, sabar, dan sikap positif dalam kehidupan.","Good character is part of a Muslim�s faith. This lesson discusses how Islam teaches manners, honesty, trustworthiness, patience, and a positive attitude in life.",1
6,Pergaulan & Hormat kepada Orang Lain dalam Islam,Social Etiquette & Respect in Islam,"Islam mengajar umatnya untuk menghormati semua orang, tidak kira agama atau bangsa. Pelajaran ini menerangkan adab dalam pergaulan, bercakap, dan menghormati ibu bapa, jiran, dan masyarakat.","Islam teaches respect for everyone, regardless of religion or race. This lesson explains proper manners in social interactions, speech, and respect for parents, neighbors, and society.",1
7,"Syurga, Neraka & Kehidupan Selepas Mati","Heaven, Hell & Life After Death","Apakah yang berlaku selepas mati? Pelajaran ini menerangkan konsep kehidupan selepas mati, amalan yang membawa ke syurga, dan perkara yang menyebabkan seseorang dihukum di neraka.","What happens after death? This lesson explains the Islamic belief in the afterlife, the deeds that lead to heaven, and the actions that result in punishment in hell.",1
8,Malaikat dalam Islam,Angels in Islam,"Siapakah malaikat dan apakah tugas mereka? Pelajaran ini membincangkan nama-nama malaikat utama, tugas mereka, dan bagaimana mereka memainkan peranan dalam kehidupan seorang Muslim.","Who are the angels and what are their duties? This lesson covers the names of major angels, their responsibilities, and how they play a role in a Muslim�s life.",1
9,"Memahami Rezeki, Keberkatan & Keadilan","Understanding Sustenance, Blessings & Justice","Bagaimana Islam mendefinisikan rezeki dan keberkatan? Pelajaran ini membincangkan konsep rezeki yang halal, keberkatan dalam kehidupan, serta keadilan sosial yang ditekankan dalam Islam.","How does Islam define sustenance and blessings? This lesson covers the concept of halal earnings, blessings in life, and social justice as emphasized in Islam.",1
10,Ilmu & Pendidikan Sangat Ditekankan dalam Islam,The Importance of Knowledge & Education in Islam,"Ilmu adalah cahaya dan kunci kejayaan. Pelajaran ini membincangkan kepentingan mencari ilmu, peranan pendidikan dalam Islam, dan bagaimana ilmu membawa kepada kejayaan dunia dan akhirat.","Knowledge is light and the key to success. This lesson highlights the importance of seeking knowledge, the role of education in Islam, and how learning leads to success in both this world and the hereafter.",1
11,Cara Mengambil Wudhu yang Betul & Kesilapan yang Perlu Dielakkan,How to Perform Wudu Correctly & Mistakes to Avoid,"Dalam bahagian ini, pelajari langkah-langkah yang betul untuk mengambil wudhu (ablusi) dan kesilapan umum yang perlu dielakkan. Wudhu yang betul adalah penting untuk sahnya solat, dan memahami teknik yang betul memastikan ia dilakukan mengikut ajaran Islam.","In this section, learn the correct steps to perform wudu (ablution) and common mistakes to avoid. Proper wudu is essential for the validity of prayers, and understanding the proper technique ensures it is done in accordance with Islamic teachings.",2
12,Mandi Wajib: Bila & Bagaimana Melakukannya dengan Betul?,Obligatory Bath: When & How to Do It Correctly?,Panduan ini menerangkan bila perlu melakukan mandi wajib (mandi junub) dan cara yang betul untuk melakukannya. Ketahui kepentingan dan langkah-langkah mandi yang diperlukan selepas peristiwa tertentu seperti haid atau hubungan seksual.,"This guide explains when it is necessary to perform mandi wajib (ritual bath) and the correct procedure for it. Learn the significance and the detailed steps of the bath required after certain events, such as after menstruation or sexual activity.",2
13,Solat 5 Waktu: Cara Melaksanakannya dengan Betul & Memahami Rukun Solat,The 5 Daily Prayers: How to Perform Them Correctly & Understanding the Pillars of Prayer,Bahagian ini menumpukan pada cara-cara melaksanakan solat lima waktu dengan betul serta memahami rukun solat. Temui langkah-langkah yang betul dan pelajari tentang aspek fizikal dan spiritual dalam solat.,"This section focuses on how to correctly perform the five daily prayers (solat) and understanding their core pillars (rukun solat). Discover the proper steps, and learn about the important physical and spiritual aspects of prayer.",2
14,Solat Sunat & Qada�: Bila dan Bagaimana Melaksanakannya?,Voluntary Prayers & Qada': When and How to Perform Them?,"Pelajari tentang kepentingan solat sunnah (voluntary prayers) dan qada' (solat yang tertinggal). Bahagian ini menerangkan masa yang sesuai untuk melaksanakannya dan cara-cara yang betul, untuk meningkatkan hubungan dengan Allah.","Learn about the significance of sunnah (voluntary) prayers and qada' (missed prayers). This section outlines the times when they should be performed and how to carry them out correctly, enhancing your connection with Allah.",2
15,"Puasa Ramadan: Hukum, Syarat, dan Cara Melaksanakannya","Ramadan Fasting: The Rules, Conditions, and How to Perform It Correctly","Bahagian ini membincangkan hukum dan syarat-syarat berpuasa di bulan Ramadan. Fahami manfaat rohani, perkara yang boleh dan tidak boleh dilakukan, serta cara yang betul dalam menjalani puasa untuk memenuhi kewajipan agama.","This section covers the rules and conditions of fasting during Ramadan. Understand the spiritual benefits, the do�s and don�ts, and how to properly observe fasting to fulfill its religious duties.",2
16,Zakat & Sedekah: Siapa Wajib & Bagaimana Ia Diberikan?,Zakat & Charity: Who Is Obligated and How Is It Given?,"Pelajari tentang zakat (derma wajib) dan sedekah (derma sukarela). Fahami siapa yang wajib memberi, syarat untuk memberi, dan cara zakat serta sedekah sepatutnya disalurkan kepada mereka yang memerlukan.","Learn about the pillars of zakat (obligatory charity) and sedekah (voluntary charity). Understand who is required to give, the conditions for giving, and how charity should be distributed to those in need.",2
17,Haji & Umrah: Langkah Demi Langkah Panduan Menunaikannya,Hajj & Umrah: Step-by-Step Guide on Performing Them,"Bahagian ini memberikan panduan terperinci tentang cara menunaikan Haji dan Umrah, yang merupakan ibadah penting dalam agama Islam. Ketahui langkah-langkah yang terlibat, manfaat rohani, dan kepentingan setiap fasa dalam perjalanan ini.","This section provides a detailed guide on how to perform Hajj and Umrah, both of which are important pilgrimage rituals. Learn about the steps involved, the spiritual benefits, and the significance of each phase of the journey.",2
18,Mengenali Nama & Sifat Allah: Memahami Keagungan-Nya,Recognizing the Names & Attributes of Allah: Understanding His Majesty,"Kenali 99 nama (Asmaul Husna) dan sifat-sifat Allah. Bahagian ini membantu anda merenung dan memahami sifat-sifat Ilahi Allah, dengan tujuan untuk memperdalam pengertian dan pengagungan terhadap kebesaran-Nya.","Explore the 99 names (Asmaul Husna) and attributes of Allah. This section helps you reflect on the divine qualities of Allah, deepening your understanding and reverence of His majesty.",2
19,"Kepentingan Doa, Zikir & Istighfar dalam Kehidupan Seharian","The Importance of Dua, Dhikr & Istighfar in Daily Life","Pelajari bagaimana doa (dua), zikir (mengingati Allah), dan istighfar (memohon ampunan) dapat memperkaya kehidupan seharian. Bahagian ini menekankan kuasa dan manfaat amalan ini dalam mendekatkan diri kepada Allah dan mencapai kedamaian rohani.","Learn how prayer (dua), remembrance of Allah (dhikr), and seeking forgiveness (istighfar) can enrich your daily life. This section highlights the power and benefits of these practices in drawing closer to Allah and achieving spiritual peace.",2
20,Bagaimana Meningkatkan Kekhusyukan dalam Ibadah?,How to Enhance Concentration in Worship?,"Bahagian ini menawarkan petua dan panduan praktikal untuk meningkatkan tumpuan dan kekhusyukan dalam ibadah anda, memastikan setiap amalan dilakukan dengan lebih tulus dan penuh perhatian.","This section offers practical tips and insights on how to increase focus and devotion in your acts of worship, ensuring that you engage in them with a greater sense of sincerity and mindfulness.",2
